Источник,Дата,Значимость,Категория,Заголовок,Новость
Эксперт РА,19.02.21,3,рейтинг,«Эксперт РА» присвоил рейтинг компании «Газпром» на уровне А++.gq,"ПАО «Газпром» – глобальная энергетическая компания. Основные направления деятельности – геологоразведка, добыча, транспортировка, хранение, переработка и реализация газа, газового конденсата и нефти, реализация газа в качестве моторного топлива, а также производство и сбыт тепло- и электроэнергии.«Газпром» является мировым лидером по запасам и добыче природного газа. Компания поставляет газ потребителям в России и более чем в 30 стран ближнего и дальнего зарубежья, является крупнейшим экспортером газа в Европу. «Газпром» входит в тройку ведущих российских производителей нефти и газового конденсата, занимает первое место в России по выработке электрической энергии среди компаний тепловой генерации и по производству тепловой энергии.Позитивное влияние на уровень рейтинга оказывает высокий уровень организации деятельности коллегиальных органов управления. В компании утвержден Совет директоров, который состоит из 11 человек. Однако сдерживает уровень рейтинговой оценки небольшое количество независимых директоров, которое насчитывает 3 человека. При Совете директоров функционируют 2 комитета: комитет по аудиту и комитет по назначениям и вознаграждениям. Агентство отмечает, что комитет по аудиту возглавляет независимый член Совета директоров, в отличие от комитета по назначениям и вознаграждениям. При этом на оценку положительно влияет наличие страхования ответственности членов Совета директоров и должностных лиц с высоким размером страховой суммы в АО «СОГАЗ» (ruAAA, Эксперт РА). В компании также утвержден коллегиальный исполнительный орган в лице Правления. Его состав подвержен минимальным изменениям и насчитывает 14 человек.  Уровень регламентации функционала коллегиальных органов оценивается как высокий. В Газпроме также утверждены принципы определения вознаграждения членам Совета директоров и положение о системе годового бонуса, в соответствии с которыми размер вознаграждения/бонуса зависит от результатов деятельности сотрудника, а также самой компании. В ПАО «Газпром» также сформирована программа долгосрочной мотивации в форме участия руководящих сотрудников в капитале компании, что позитивно влияет на уровень рейтинга.Высокая степень регламентации и контроля трудовых отношений внутри компании оказывает позитивное влияние на рейтинг. В компании утверждена политика управления человеческими ресурсами, раскрывающая подходы в работе с персоналом, а также программа повышения эффективности человеческих ресурсов. В «Газпроме» разработана программа профессионального обучения сотрудников, система мотивации и премирования на основе критериев KPI. «Газпром» вошел в рейтинг наиболее привлекательных работодателей по версии Forbes в 2020 году. При этом давление на рейтинговую оценку оказывает отсутствие при Совете директоров комитета по этике.Защиту прав акционеров в компании обеспечивает наличие ревизионной комиссии, которая подотчетна непосредственно общему собранию акционеров. В ревизионную комиссию входят 5 человек, избираемые последним. Помимо этого, в компании функционирует департамент внутреннего аудита, который функционально подотчетен Совету директоров (через комитет по аудиту). Наличие кодекса корпоративной этики, ревизионной комиссии, службы внутреннего аудита, а также положения об инсайдерской информации и противодействии манипулированию рынком минимизируют вероятность возникновения корпоративных конфликтов интересов. «Газпром» также придерживается утвержденной дивидендной политики, предусматривающей выплату дивидендов в сроки, установленные федеральным законодательством РФ.Агентство позитивно оценивает качество организации стратегического планирования в «Газпроме». Действующее положение о порядке планирования содержит детальную информацию о стратегических целевых показателях, методах их расчета, а также о зоне ответственности исполнительных департаментов и тайминг подготовки и мониторинга достигнутых показателей. Агентство оценивает систему управления рисками как высокую. В компании сформировано отдельное подразделение по управлению рисками и внутреннему контролю, которое подчиняется Заместителю Председателя Правления. Отмечается высокая проработанность ключевых положений, в том числе по управлению операционными, кредитными, валютными рисками и рисками ликвидности. Внутри компании готовится ряд периодической отчетности в области управления рисками. При оценке эффективности управления рисками агентством также учитывалось наличие сертификата в области системы менеджмента качества ISO 9001:2015 и ISO 50001:2018.Положительно оценивается агентством и степень организации аудиторского процесса. Компания выбирает аудитора посредством проведения тендера. Начиная с 2016 года и по настоящее время аудитором финансовой отчетности по РСБУ и МСФО является ООО «ФБК». Агентство отмечает, что отсутствие ротации внешнего аудитора в будущем может оказать сдерживающее влияние на рейтинг.Компания отличается высоким уровнем информационной прозрачности. Помимо обязательной к раскрытию финансовой и нефинансовой отчетности, «Газпром» публикует годовой и экологический отчеты, а также отчет об устойчивом развитии."
Эксперт РА,18.06.21,3,рейтинг,«Эксперт РА» присвоил рейтинг компании «ГАЗПРОМ» на уровне ruAAA,"Группа Газпром (далее – Группа) - одна из крупнейших в мире энергетических компаний, крупнейший мировой производитель газа. Головной компанией Группы является ПАО «Газпром».  Группа контролируется государством, входит в перечень стратегических предприятий и организаций, обеспечивающих реализацию единой государственной политики в отраслях экономики, и является одним из крупнейших налогоплательщиков Российской Федерации. ПАО «Газпром» имеет статус естественной монополии по трубопроводной транспортировке газа на внутреннем рынке и является эксклюзивным экспортером трубопроводного газа. Все вышеперечисленное в совокупности с наличием фактов государственной поддержки в прошлом позволяет агентству применять к уровню рейтинга сильный фактор поддержки со стороны государства.Агентство оценивает устойчивость к внешним шокам отрасли Группы как умеренную. Это обусловлено относительно стабильным спросом на углеводороды, низкой себестоимостью добычи, вертикально-интегрированной бизнес-моделью Компании и спецификой ценообразования при реализации газа, обеспечивающей частичное хеджирование ценовой волатильности. Определенное естественное хеджирование при изменении рыночной конъюнктуры обеспечивает также специфика налогообложения добычи. Барьеры для входа в отрасль Группы оцениваются агентством как высокие.Группа является преимущественно газодобывающей компанией с диверсификацией в нефтедобывающий и нефтеперерабатывающий бизнес (ПАО «Газпром нефть»), интеграцией в трубопроводную транспортировку, переработку (ООО «Газпром переработка») и электрогенерацию (ООО «Газпром энергохолдинг»). Около 47% реализации газа по итогам 2020 года приходилось на внутренний рынок, цены на котором стабильны и регулируются ФАС. Около 45% объемов было реализовано на рынках дальнего зарубежья. По долгосрочным контрактам на поставку газа в Европу предусмотрены условия «бери или плати», обеспечивающие загрузку трубопроводных мощностей и необходимые объемы продаж газа, а ценообразование позволяет достичь меньшей волатильности и большей предсказуемости средней цены в сравнении с условиями спотового рынка. Из-за увеличения ликвидности на газовых хабах в Европе в последние годы в структуре реализации значительно выросла доля контрактов с ценообразованием на основе привязки к бенчмаркам местных газовых хабов. Так, доля контрактов с нефтяной привязкой на европейском направлении по итогам 2020 года составила только 13%. При этом более 30% объемов по контрактам имеют ценообразование на основе форвардных цен на газ со сроками от 1 квартала до года. Реализация газа в направлении быстрорастущего рынка Китая по трубопроводу «Сила Сибири» пропускной способностью 38 млрд кубометров (8% от реализации 2020 года) в год по итогам 2020 года составила порядка 4 млрд кубометров.Конкурентные позиции Группы оцениваются как сильные, благодаря большому масштабу деятельности и очень высокому уровню запасов с низкой себестоимостью добычи. На Группу приходится около 68% добычи газа в России и 12% в мире. Объем добычи углеводородов Группы по итогам 2020 года составил около 3,4 млрд б.н.э. Доказанные запасы Группы по стандарту PRMS обеспечивают порядка 36 лет добычи на этом уровне. Компания обеспечивает порядка 56% европейского импорта и 32% общего объема потребления газа и стратегически нацелена на диверсификацию поставок на азиатские рынки. Агентство считает, что несмотря на усиление конкуренции с СПГ на европейском рынке объемы реализации газа в Европе будут устойчивы, так как они будут поддерживаться естественным падением добычи газа у европейских производителей, постепенным выводом из эксплуатации угольной генерации и потребностью европейских потребителей в гарантированных поставках газа по трубопроводам. Расширение экологической повестки также благоприятствует росту объемов реализации газа, доля которого в структуре мирового потребления будет только расти.         В факторе концентрации бизнеса агентство отмечает диверсифицированную структуру клиентской базы Группы, отсутствие зависимости от труднозаменимых поставщиков и от конкретных добычных проектов. Регион Надым-Пур-Таз является традиционно крупнейшим в структуре добычи Компании, естественное падение добычи на котором будет компенсироваться ростом добычи на полуострове Ямал. Агентство оценивает ликвидность Группы как сильную. Прогнозный операционный денежный поток на горизонте года от 31.03.2021 (далее – отчетная дата) с учетом остатка денежных средств и депозитов, по оценке агентства, будет покрывать все направления использования ликвидности. Сильная качественная оценка ликвидности обусловлена комфортным графиком погашения долгового портфеля и высокой степенью его диверсификации по кредиторам. Большая часть долга Группы на отчетную дату представлена выпусками еврооблигаций. Агентство не ожидает существенного роста объема инвестиционной программы Группы в сравнении с 2020 годом.Долговая нагрузка Группы оценивается агентством умеренно позитивно. Отношение скорректированного чистого долга к EBITDA на отчетную дату по расчетам агентства составило 2,7х (2,4х годом ранее). В объеме долга агентство учитывало дисконтированные обязательства, связанные с выбытием активов и восстановлением окружающей среды, и дисконтированные пенсионные обязательства, без учета которых значение метрики на отчетную дату составило бы 2,3х. Также в объеме долга была учтена часть выданных Группой поручительств в объеме менее 0,1х EBITDA на отчетную дату. На результаты 2020 года негативное влияние оказало преимущественно падение цен на углеводороды из-за пандемии. Также повлияло падение объемов продаж, в том числе из-за аномально теплых погодных условий в Европе. Спотовые цены на газ к маю 2020 года упали более чем в 4 раза в сравнении с уровнем начала года, однако уже в октябре снова превысили их. В дальнейшем в 1 квартале 2021 рост экспортных цен на газ в Европе ускорился на фоне холодной зимы до 20% г/г, объемы поставок выросли на 25% г/г. Проведенные антикризисные меры Группы по сокращению операционных издержек на 20% и капитальных затрат на 26% вкупе с вышеописанной рыночной динамикой позволили долговой нагрузке Компании остаться на умеренных значениях. Агентство ожидает, что улучшение рыночной конъюнктуры на газовом и нефтяном рынках в 2021 году поможет Группе вернуть отношение скорректированного чистого долга к EBITDA в комфортный интервал между 1х и 2х.Уровень процентной нагрузки Группы оценивается агентством как низкий, что обусловлено умеренной общей долговой нагрузкой Компании и номинированностью 78% долгового портфеля в иностранной валюте. Одним из элементов антикризисной стратегии Группы стал выпуск в октябре 2020 года бессрочных еврооблигации объемом 1,4 млрд долл. и 1 млрд евро. Условия выпуска предполагают, что Группа вправе по своему усмотрению и любое количество раз принимать решение об отсрочке купонных платежей, что позволяет агентству классифицировать эти обязательства в составе капитала и не учитывать в долговых метриках в соответствии с их трактовкой в МСФО отчетности. При этом в базовом сценарии агентство ожидает, что Группа будет выплачивать купонные платежи по этим облигациям, соответственно, они учитываются в оценке фактора процентной нагрузки. В июне 2021 года Группа планирует дебютный выпуск рублевых бессрочных облигаций объемом от 30 млрд рублей, средства от которого планируется направить на финансирование газификации регионов России. Обязательства по этому выпуску также могут быть классифицированы в составе капитала в отчетности по МСФО. По выпуску будет предусмотрен механизм возмещения недополученных доходов инвесторам в рамках Постановления Правительства РФ №2337 от 29.12.2020 г. Общий объем программы бессрочных рублевых облигаций составляет 150 млрд рублей.Фактор рентабельности оценивается агентством на высоком уровне, поддерживаемый высокой рентабельностью Группы по EBITDA, которая за отчетный период составила 24%. Некоторое давление на оценку фактора оказывает рентабельность Группы по свободному денежному потоку (FCF), что объясняется относительно высоким объемом поддерживающих затрат, в т.ч. на содержание трубопроводной инфраструктуры. При этом агентство ожидает, что указанная метрика на горизонте года от отчетной даты будет иметь высокое значение по бенчмаркам методологии, благодаря улучшению рыночной конъюнктуры. Уровень валютных рисков Группы оценивается агентством как умеренно низкий исходя из сбалансированности поступлений по экспортной выручке и объемов валютного долга. В блоке корпоративных факторов агентство отмечает высокий уровень качества управления Группы, высокий уровень информационный прозрачности и риск-менеджмента. По данным консолидированной отчетности МСФО выручка Группы по итогам 2020 года составила 6,3 трлн руб., активы компании на 31.12.2020 составили 23,3 трлн руб., капитал – 14,8 трлн руб.Контакты для СМИ: pr@raexpert.ru, тел.: +7 (495) 225-34-44.Кредитный рейтинг присвоен ПАО «Газпром» впервые.Кредитный рейтинг присвоен по российской национальной шкале и является долгосрочным. Пересмотр кредитного рейтинга и прогноза по нему ожидается не позднее года с даты выпуска настоящего пресс-релиза.При присвоении кредитного рейтинга применялась методология присвоения рейтингов кредитоспособности нефинансовым компаниям https://raexpert.ru/ratings/methods/current (вступила в силу 03.06.2021).Присвоенный рейтинг и прогноз по нему отражают всю существенную информацию в отношении объекта рейтинга, имеющуюся у АО «Эксперт РА», достоверность и качество которой, по мнению АО «Эксперт РА», являются надлежащими. Ключевыми источниками информации, использованными в рамках рейтингового анализа, являлись данные Банка России, ПАО «Газпром», а также данные АО «Эксперт РА». Информация, используемая АО «Эксперт РА» в рамках рейтингового анализа, являлась достаточной для применения методологии."
Коммерсант,27.12.21,4,добыча газа,Европа «перебрала» с запасами,"Последнюю неделю европейский спотовый рынок больше напоминал американские горки. Превысив $2 тыс. и побив абсолютный рекорд, цена 1 тыс. куб. м газа столь же быстро снизилась. Но европейских потребителей это не удовлетворило. Многие страны выработали объемы, указанные в контракте с Россией, и 21 декабря «Газпром» остановил прокачку топлива по ямальскому маршруту. Теперь хранилища в некоторых государствах и вовсе оказались практически пустыми, заявили в российской компании.Как вышло, что Европе не хватило газа до конца 2021 года? Кажется, там ошиблись в расчетах, когда в январе заключали контракт, считает ведущий эксперт Фонда национальной энергетической безопасности Игорь Юшков: «В первом полугодии европейцы очень активно отбирали газ. В итоге на декабрь они выбрали уже все объемы, которые должны были получить. Дальше ЕС может покупать газ по спотовой цене.Норвегия четвертый год подряд снижает объемы добычи газа. Собственная добыча в Европе падает. Еще и ветряная энергетика дала меньше энергии, чем в предыдущие годы. Ее нужно было заместить, поэтому много топлива отбирали именно у ""Газпрома"". Плюс пандемия, однако Евросоюз вряд ли рассчитывал на быстрое восстановление экономики».Россия настаивает: если европейские страны хотят больше газа, пусть заключают долгосрочные контракты. Тем более что цены на них существенно меньше: $250-$300 за 1 тыс. куб. м. Столько, например, сейчас платит Сербия.Однако это совсем не устраивает Еврокомиссию. Там не раз заявляли, что такими контрактами «Газпром» монополизирует рынок. Но то, что предлагает Европа, невыгодно российской компании, объясняет старший научный сотрудник Финансового университета Станислав Митрахович: «Европейская сторона требует от ""Газпрома"" увеличения продажи газа на спотовом рынке. ЕС хочет, чтобы российская компания, например, открыла свою электронную торговую площадку и привезла туда газ без контрактов.Можно пугать ""Газпром"" антимонопольным расследованием, но надо доказать, что он манипулировал рынком — это будет сложно сделать. Мог бы ""Газпром"" просто отдать больше газа? Наверное, мог бы, но тогда корпорация должна была бы ожидать и к себе другого отношения. Например, ускорение сертификации ""Северного потока-2""».В начале года в контрактах обычно пересматриваются объемы, которые «Газпром» должен поставить в страну. Так что уже совсем скоро поставки по трубопроводу Ямал—Европа могут восстановиться. Но даже если страны решатся продлить долгосрочные контракты, цена на них будет частично зависеть и от спотового рынка.Поэтому исключить физический дефицит газа этой зимой нельзя, говорит директор по энергетическому направлению Института энергетики и финансов Алексей Громов: «Все будет зависеть от двух факторов. Во-первых, погодные условия: если зима окажется очень холодной, то это создаст очень большое напряжение для европейского газового рынка. Во-вторых, ситуация в Азии: сейчас азиатский СПГ развернулся в Европу и немного успокоил рынки, но если там снова возникнет спрос, тогда Европа вернется к ситуации высокого риска дефицита газа.Россия не раз заявляла, что нормализовать ситуацию мог бы «Северный поток-2». Но в Германии, кажется, с этим не спешат: там говорят, что газопровод не получит одобрения в первой половине следующего года. Аналитики Bloomberg тем временем ожидают сохранения аномально высоких цен на топливо и в 2022-м, и в 2023-м."
Коммерсант,28.12.21,5,поставки газа,«Газпром» восьмой день не бронирует мощности газопровода Ямал—Европа,"«Газпром» на дополнительной ночной сессии 28 декабря снова не стал бронировать мощности польского участка трубопровода Ямал—Европа, сообщает ТАСС со ссылкой на данные газотранспортного оператора Gascade. Компания не бронирует мощности газопровода уже восьмой день подряд.С 21 декабря газопровод Ямал—Европа работает в реверсном режиме. На фоне снижения прокачки цена на газ в Европе достигала рекордных $2150. «Газпром» на этой неделе заявил, что готов поставлять дополнительные объемы газа в Европу, а также отверг все обвинения в недостаточных поставках. Президент Владимир Путин считает, что европейцы «сами создали себе» проблемы с газом.О том, почему странам ЕС не хватает газа, читайте в материале «Ъ FM» «Европа ""перебрала"" с запасами»."
Коммерсант,01.01.22,4,поставки газа,«Газпром» снова не забронировал мощности газопровода Ямал—Европа,"«Газпром» в ходе регулярной сессии суточного аукциона вновь не забронировал на понедельник, 27 декабря, мощности польского участка газопровода Ямал—Европа, сообщает «Прайм» со ссылкой на данные GSA Platform. Это продолжается уже неделю, компания не бронирует мощности участка ни на регулярной, ни на дополнительной сессии.Мощности, которые оказались невостребованными, предлагались на точке входа в польский участок магистрали. Она является для «Газпрома» одним из основных маршрутов поставок газа в Европу.21 декабря физический поток газа по газопроводу Ямал—Европа в Германию был приостановлен, участок работает в реверсивном режиме. На фоне снижения прокачки по газопроводу цена на газ в Европе впервые в истории превышала $2150.Подробнее о росте цен — в материале «Ъ» «Ямало ли что с газом случится»."
РБК,05.01.22,3,санкции,"Welt узнала, что санкции против Gazprom Germania обойдутся ФРГ в €5 млрд","Российские санкции против компании Gazprom Germania и дочерних предприятий, находящихся под ее управлением, могут обойтись потребителям газа в Германии в дополнительные €5 млрд в год, пишет Welt am Sonntag со ссылкой на неназванных представителей отрасли.Компании являлись «дочками» российского «Газпрома», однако последний прекратил в них участие с 1 апреля. 11 мая Россия ввела санкции против Gazprom Germania и ряда компаний, находящихся под ее управлением. На следующий день вице-канцлер ФРГ, министр по делам экономики и защиты климата Роберт Хабек сообщил, что бывшие дочерние предприятия «Газпрома» больше не получают газ. При этом он заверил, что рынок сможет компенсировать выпадающие поставки.Welt пишет, что переориентация на других поставщиков газа будет создавать сильную нагрузку на федеральный бюджет, так как газ будет закупаться по более высоким ценам. По данным издания, с середины мая МВт·ч природного газа обходился Германии примерно в €85, тогда как обычная стоимость до начала российской операции составляла от €20 до €30.По оценке властей, ФРГ после прекращения поставок Gazprom Germania и ее «дочкам» необходимы дополнительные 10 млн куб. м газа в день, что будет стоить около €3,5 млрд в год, утверждает издание. Остальные затраты будут приходиться на заполнения газом хранилища Реден в Нижней Саксонии. К 1 октября оно должно быть заполнено на 80%. Как пишет Welt, заполнение может идти очень медленно, поэтому у Берлина нет времени ждать, когда упадут цены на газ, и процесс нужно начинать уже сейчас.С октября для потребителей газа будет установлена новая надбавка для компенсации выросших расходов, уточняет газета.Министерство экономики и защиты климата Германии не стало комментировать возможные дополнительные траты на закупку газа, сославшись на коммерческую тайну.В мае Хабек уже заявлял, что ответные санкции России могут привести к росту трат Германии на то, чтобы обеспечить страну газом. Он пояснял, что потребуется заключать новые договоры, возможно, по более высоким ценам. Министр заверял, что у Берлина есть план замещения российских поставок."
Коммерсант,06.01.22,4,поставки газа,«Газпром» перезаключил контракт на поставку газа в Турцию,"«Газпром экспорт» сообщил о подписании нового контракта на поставку газа в Турцию с местной госкомпанией Botas. «""Газпром экспорт"" и его основной партнер в Турции, компания Botas, 30 декабря 2021 года подписали пакет соглашений, касающихся сотрудничества в области поставок газа и использования газотранспортной инфраструктуры»,— сообщила российская компания 6 января. Новый контракт на поставку газа, пришедший на смену старому соглашению от 1998 года объемом 4 млрд кубометров в год, заключен на четыре года с годовым объемом в 5,75 млрд кубометров. Речь идет о поставках в западную Турцию по газопроводу «Турецкий поток».Речь идет о контрактах Avrasya Gaz (0,5 млрд кубометров), Shell (0,25 млрд кубометров), Bosphorus Gaz (0,75 млрд кубометров) и Enerco (2,5 млрд кубометров), заключенных в 2009 году в ходе так называемого первого газового релиза. В рамках этой процедуры Botas передала изначально принадлежавшие ей контрактные объемы частным компаниям, поскольку в то время турецкое правительство собиралось либерализовать свой рынок газа по европейскому образцу.Реформа, однако, стала давать сбои по мере постоянного ослабления курса лиры к доллару во второй половине 2010-х: частные импортеры постоянно страдали от «ножниц» между номинированными в долларах импортными контрактами и внутренними регулируемыми тарифами на газ. Botas была менее уязвима, поскольку занимается также транспортировкой газа и имеет другие доходы для покрытия периодически возникающих убытков от реализации газа на внутреннем рынке.В итоге «Газпром» в 2014–2017 годах предоставлял частным импортерам разные скидки, что, однако, все равно не позволило большинству из них сохранить финансовую устойчивость. По оценкам «Ъ», только за 2019 год частные импортеры не заплатили «Газпрому» около $1,7 млрд по условиям take-or-pay, и российская компания до сих пор не может получить эти деньги, хотя и выиграла соответствующие международные арбитражи.В итоге было достигнуто компромиссное решение — из 4 млрд кубометров годовых объемов частных импортеров Botas взяла на себя около 2 млрд кубометров. Общий контрактный портфель «Газпрома» на турецком рынке сократился до 30 млрд кубометров.Стороны не раскрыли ценовые условия контракта. Прежний контракт был основан на нефтяной привязке: это сильно помогло Турции в 2021 году, когда спотовые цены на газ в Европе и стоимость спотовых партий СПГ на мировом рынке выросли в несколько раз."
