Article,Cluster,True category
«Эксперт 400»: для роста капитализации российских компаний необходимы сильные внутренние инвесторы,финансы,инвестиции
«Эксперт РА» присвоил рейтинг компании «Газпром» на уровне А++.gq,рейтинг,рейтинг
«Эксперт РА» присвоил рейтинг компании «ГАЗПРОМ» на уровне ruAAA,финансы,рейтинг
Европа «перебрала» с запасами,финансы,добыча газа
«Газпром» восьмой день не бронирует мощности газопровода Ямал—Европа,финансы,поставки газа
«Газпром» снова не забронировал мощности газопровода Ямал—Европа,финансы,поставки газа
"Welt узнала, что санкции против Gazprom Germania обойдутся ФРГ в €5 млрд",санкции,санкции
«Газпром» перезаключил контракт на поставку газа в Турцию,финансы,поставки газа
В Петербурге открыли «большой подарок от «Газпрома»,поставки газа,события
«Газпром» идет на полимеры,финансы,инвестиции
«Газпрому» не везет с погодой,финансы,поставки газа
«Газпром» заводит PGNiG в юридические дебри,финансы,биржа
«Газпром» собирает газ севера Ямала,финансы,добыча газа
Газовые проблемы не покидают Молдавию,поставки газа,поставки газа
Газ в чрезвычайном режиме,финансы,поставки газа
Молдавия заплатила «Газпрому» за газ в январе,финансы,поставки газа
Газ на рейде,финансы,поставки газа
Калининград в кольце газов,финансы,поставки газа
«Газпром» выдавливает дивиденды из Польши,финансы,санкции
В газовой сделке запахло Сахалином,финансы,поставки газа
«Газпром» подписал второй контракт на поставку газа в Китай,финансы,поставки газа
«Газпром» не стал бронировать мощности Ямал—Европа до октября,финансы,поставки газа
Атомные метанморфозы,финансы,добыча газа
Газ отклонился от генераторной линии,финансы,биржа
«Газпром» вновь не забронировал мощности газопровода Ямал—Европа,финансы,поставки газа
«Эксперт РА» подтвердил рейтинг компании «Газпром» на уровне А++.gq,рейтинг,рейтинг
Bloomberg: Великобритания планирует временно национализировать «дочку» «Газпрома»,санкции,санкции
«Газпром» рубит зарубежные связи,санкции,санкции
Германия берет «Газпром» на себя,санкции,санкции
Газ запутался в платежах,поставки газа,санкции
Союзные газударства,поставки газа,санкции
"«""Газпром"" практически ничего не теряет»",поставки газа,санкции
«Газпром» планирует в 2022 году снизить добычу газа на 4%,финансы,добыча газа
«Газпром»: экспорт газа в Китай с начала года вырос почти на 60%,финансы,поставки газа
В ЕС сочли нарушением контракта отключение Польши и Болгарии от газа,поставки газа,санкции
Итальянский министр допустил отказ от российского газа к 2024 году,поставки газа,поставки газа
«Газпром» забронировал часть мощностей «Ямал — Европы» впервые за месяц,поставки газа,поставки газа
«Газпром»: Германия перестала поставлять российский газ в Польшу,поставки газа,поставки газа
Польша начала получать газ через виртуальный реверс из Италии и Франции,поставки газа,поставки газа
Боррель заявил об отсутствии планов ЕС отказаться от поставок российского газа,поставки газа,поставки газа
«Газпром» задействует мощности «Северного потока-2» для работы в России,события,санкции
Bloomberg узнал о письме «Газпрома» клиентам в Европе об оплате газа,поставки газа,поставки газа
«Газпром» не увидел подтверждений форс-мажора с транзитом газа на Украине,поставки газа,поставки газа
Россия ввела санкции против бывших «дочек» «Газпрома»,санкции,санкции
"Болгария договорилась о покупке СПГ у США по ценам ниже, чем у «Газпрома»",поставки газа,поставки газа
Россия снизила прокачку газа транзитом через Украину на 25%,поставки газа,поставки газа
Газ меняет направление,поставки газа,поставки газа
Австрия пригрозила забрать у «Газпрома» газохранилище в Зальцбурге,санкции,санкции
Iltalehti узнала о возможном отключении поставок газа в Финляндию,поставки газа,поставки газа
Российские санкции сделали невозможным транзит газа через Польшу,санкции,санкции
"В Германии заявили, что «дочки» Gazprom Germania не получают газ",санкции,санкции
Песков счел очередной «уткой» сообщения о планах отключить газ Финляндии,поставки газа,поставки газа
«Газпром» успел заработать в 2021 году,финансы,биржа
Финская Gasum оспорит в суде требование России платить за газ в рублях,поставки газа,поставки газа
"Новак сообщил, что половина из 54 покупателей газа открыла счета в рублях",поставки газа,поставки газа
«Газпром» пообещал защищать свои интересы в арбитраже с Финляндией,поставки газа,поставки газа
"Gasum сообщила, что Россия приостановит поставки газа в Финляндию 21 мая",поставки газа,поставки газа
«Нафтогаз» допустил новый суд с «Газпромом» по платежам за транзит,финансы,поставки газа
«Газпром» подтвердил прекращение поставок газа в Финляндию,поставки газа,поставки газа
Gasum сообщила о приостановке поставок газа из России в Финляндию,поставки газа,поставки газа
Газу перекрывают маршруты,поставки газа,поставки газа
«Газпром» призывают к биржевой дисциплине,финансы,биржа
FT узнала об идее Британии провести ребрендинг компании Gazprom Energy,санкции,санкции
