texts,articles
"По данным “Ъ”, крупнейший строительный подрядчик «Газпрома» «Газстройпром» профинансировал покупку третьей стороной «Газпром бурения» почти на 68 млрд руб. «Газпром бурение» — основной профильный подрядчик «Газпрома», его выручка за 2021 год составила около 101 млрд руб., чистая прибыль — около 7 млрд руб.Монополия продала «Газпром бурение» Аркадию Ротенбергу в 2011 году за 4 млрд руб. Попав под санкции в 2014 году, бизнесмен передал долю сыну Игорю. Последний вышел из капитала «Газпром бурения» в прошлом году: в августе 2021 года Игорь Ротенберг (доля 78,7%), ЗПИФ «Оскар» (16,3%) и Александр Замятин продали компанию неизвестному АО «НПС Стар» (бенефициаром значилась Екатерина Михайлова), а буквально через месяц 100% в «Газпром бурении» перешли к АО «Фирма Армадис» с тем же акционером.«Фирма Армадис» расплатилась с «НПС Стар», в ее отчетности отражены «прочий доход» на чуть менее 67,929 млрд руб., а также расходы в 67,97 млрд руб. и убыток в 8 млн руб. Таким образом «Газстройпром» помог расплатиться за актив с господином Ротенбергом. Представитель Игоря Ротенберга, «Газпром», «Газпром бурение» и «Газстройпром» не ответили на запросы “Ъ”.Аналогичная схема с участием «Газстройпрома» использовалась для приобретения «Стройгазмонтажа». Исходно подрядчика получил неизвестный «Стройинвестхолдинг», а «Газстройпром» выдал ему кредит в 75 млрд руб. Позже «Стройгазмонтаж» вошел в «Газстройпром».Сам «Газстройпром» создан в 2018 году для объединения крупных строительных активов, работающих в основном на «Газпром». Именно «Газстройпрому» отошли «Стройгазконсалтинг», а также «Стройгазмонтаж» и «Стройтранснефтегаз», которые в 2000-х принадлежали Аркадию Ротенбергу и Геннадию Тимченко. Смена владельцев потребовалась после того, как бизнесмены попали под жесткие санкции США, тогда как их компании получали подряды на крупнейшие стройки «Газпрома», в том числе в Европе.Нежелание «Газпрома» обнародовать факт контроля над подрядчиком «легко объяснимо», считает глава практики международного арбитража и трансграничных споров КА «Регионсервис» Мария Любимова: «Важность компании для отрасли заставляет всех заинтересованных лиц максимально дистанцироваться от ряда структур во избежание попадания в санкционные списки».Между тем финансирование в столь крупном объеме создает фактический контроль. «Когда речь идет о значимых суммах заемных средств, кредитор в любом случае стремится максимально усилить контроль над деятельностью должника — как экономический, так и корпоративный»,— поясняет юрист. На практике, уточняет госпожа Любимова, для этого могут использоваться разные инструменты: от включения в сделку условий об обязательном предоставлении с определенной периодичностью финансовой отчетности до введения в состав органов управления заемщика представителей кредитора.",«Газпром» вложился в бурение
"Британская Shell отказалась платить «Газпрому» за поставку трубопроводного газа в Германию по новой схеме, сообщил сегодня «Газпром экспорт». Поставки по контракту прекратятся с 1 июня. C этой же даты прекратятся поставки в адрес датской Orsted (см. «Ъ» от 31 мая).Речь идет о контракте с трейдером Shell Energy Europe Limited на поставку 1,2 млрд кубометров газа в Германию, срок истечения контракта — 2031 год. В рамках этого соглашения «Газпром», в свою очередь, получил право на использование регазификационных мощностей терминала Energia Costa Azul LNG (Мексика).В марте Россия ввела новую схему оплаты газа на фоне западных санкций. Контрагенты «Газпрома» из «недружественных стран» должны открыть в «Газпромбанке» рублевые и валютные счета. Покупатели могут продолжить платить в евро или долларах, которые Газпромбанк конвертирует в рубли и отправляет на счет «Газпрома». При отказе от этой схемы РФ прекращает поставки по действующим контрактам. В такой ситуации уже оказались Болгария, Финляндия, Польша и Нидерланды. Учитывая контракты Shell и Orsted, контрактный портфель «Газпрома» в Европе в результате отказа некоторых потребителей платить в рублях сократится примерно на 27,7 млрд кубометров в год.Shell, будучи одним из крупнейших иностранных инвесторов в российский ТЭК, после начала спецоперации на Украине заявила о выходе из всех активов в РФ, а также отказалась закупать российскую нефть, газ и нефтепродукты.",«Газпром» прекратит поставки Shell в Германии
"Дания и Голландия могут стать следующими странами, в которые «Газпром» прекратит поставки природного газа. Датская энергокомпания Orsted заявила, что отказывается идти на уступки и продолжит платить за российский газ в евро, последний срок оплаты — 31 мая. «Поэтому есть риск, что ""Газпром экспорт"" прекратит поставки газа Orsted. По мнению Orsted, это будет нарушением контракта»,— заявили в компании.«Газпром» уже остановил поставки газа в Финляндию, Польшу и Болгарию, которые не согласились перейти на оплату поставок российского газа по новой схеме: покупатели должны вносить евро или доллары на счет в Газпромбанке, где банк конвертирует их рубли и переводит платежи на счет «Газпрома».Долгосрочный контракт на поставку Orsted до 2 млрд кубометров газа из РФ (до 83% от общего импорта газа в Данию в 2021 году) по «Северному потоку» действует до 2030 года.Поставки осуществлялись по газотранспортной системе Германии. Датская компания отмечает, что теперь планирует закупать эти объемы газа на рынке.Крупнейший голландский газовый трейдер GasTerra, в свою очередь, заявил, что платежи в рублях могут привести к нарушению санкций, введенных ЕС, а также «существует слишком много финансовых и операционных рисков, связанных с требуемым вариантом оплаты». В частности, по мнению компании, открытие счетов по российскому законодательству и «контроль над ними со стороны российского режима представляют слишком большой риск». «Газпром экспорт» сообщил, что в связи с решением GasTerra и отсутствием оплаты за апрель в рублях поставки прекратятся с 31 мая.Долгосрочный контракт «Газпрома» и GasTerra был заключен в сентябре 2000 года на 20 лет, затем он был продлен до 1 октября 2022 года. Как сообщили в GasTerra, прекращение поставок означает, что с настоящего момента до 1 октября компания не получит примерно 2 млрд кубометров газа. По данным «Газпром экспорта», в 2020 году трубопроводные поставки в Нидерланды составили 11,8 млрд кубометров при потреблении в 36,6 млрд кубометров.Таким образом, Голландия и Дания, вероятно, станут последними европейскими покупателями, отказавшимися от поставок со стороны «Газпрома», поскольку 1 июня завершится переходный период, определенный президентом Владимиром Путиным на изменение схемы платежей.Как отмечает Мария Белова из Vygon Consulting, потребление газа в Дании последовательно снижается с пиковых значений, достигнутых в 2003 году, параллельно с падением собственной добычи. Текущий спрос на газ в Дании находится на уровне 3 млрд кубометров, при этом страна, судя по статистике, экспортирует весь добываемый в стране газ — около 1,5 млрд кубометров. Доля газа в топливно-энергетическом балансе страны занимает 16% и последовательно сокращается, Дания намерена в четыре раза увеличить выработку энергии ВИЭ (включая биотопливо и отходы) к 2030 году. По оценке эксперта, в кратко- и среднесрочной перспективе страна сможет заместить российский газ путем сокращения своего экспорта, а также за счет увеличения закупок в Норвегии (в том числе, например, по строящемуся в Польшу и идущему транзитом через Данию газопроводу Baltic pipe) или на спотовом рынке в Германии.Решение GasTerra, по ее мнению, также можно назвать ожидаемым из-за скорого истечения долгосрочного контракта. «Нидерланды могут продолжить получать газ российского происхождения, покупая его на споте в той же Германии»,— заключает Мария Белова.",Кому меньше всех надо
"Австрия может лишить «Газпром» газового хранилища Haidach в федеральной земле Зальцбург, если компания не приступит к его заполнению газом. Об этом канцлер Австрии Карл Нехаммер сообщил российскому президенту Владимиру Путину во время телефонного разговора 27 мая.«Вопрос газа был затронут им, что все поставки в полном объеме будут соблюдаться. Я ему указал на то, что, если ""Газпром"" не будет пользоваться хранилищем в Хайдахе, тогда ""Газпром"" потеряет хранилище и оно будет передано другим поставщикам энергии для заполнения»,— сообщил Карл Нехаммер на пресс-конференции в Вене. В интервью 12 мая глава Австрии говорил, что планов по национализации этих активов нет.Судя по данным Astora, интенсивная закачка в это ПХГ ведется с середины мая. Сейчас хранилище заполнено на 33,8%, в то время как средний показатель заполненности ПХГ во всей Европе составляет около 45,3%. В «Газпроме» дополнительных комментариев не предоставили.Россия 11 мая ввела санкции в отношении Gazprom Germania и всех ее дочерних структур, полностью запретив поставки газа в их адрес и исключив возможность заключения каких-либо сделок. Эти меры были приняты в ответ на решение властей Германии ввести внешнее управление Gazprom Germania. Соответственно, «Газпром экспорт» не может взаимодействовать с Astora.В то же время правительство РФ уже предоставило исключение на 90 дней для операций с одной из структур Gazprom Germania, Gazprom Marketing & Trading Singapore, с тем чтобы НОВАТЭК мог продавать этой компании СПГ по долгосрочному контракту.Вопрос в том, интересно ли это «Газпрому». Европа старается заполнять ПХГ ускоренными темпами, несмотря на высокие цены на газ, с тем чтобы создать буфер на случай перебоев поставок из РФ. Обозначенная цель на 1 ноября 2022 года — 80% заполнения, в последующие сезоны — 90%. Но «Газпром» с осени прошлого года не проявляет большого желания заполнять собственные мощности ПХГ в Европе, что поддерживает высокие цены на газ на европейском рынке.Традиционно компания, наоборот, стремилась хранить больше газа в Европе, чтобы иметь страховку для выполнения контрактов на случай перебоев транзита через Украину. Однако теперь отбор по долгосрочным контрактам «Газпрома» резко упал, а статус многих соглашений стал неопределенным: польская PGNiG уже разорвала контракт из-за требований российской стороны по оплате в рублях, а другие клиенты, в том числе такие крупные, как итальянская Eni, заявили о намерении пойти в арбитраж. В данной ситуации, исходя из коммерческих соображений, «Газпром» может быть больше заинтересован в поддержании высоких цен, нежели в заполнении ПХГ в Европе.","Запасай, или потеряешь"
"Российский газ поступает в Европу транзитом через Украину в объеме 43,96 млн куб. м в сутки через газоизмерительную станцию (ГИС) «Суджа». Об этом сообщил официальный представитель «Газпрома» Сергей Куприянов. Накануне объем прокачки составлял 43,6 млн куб. м.«""Газпром"" осуществляет подачу российского газа для транзита через территорию Украины в объеме, подтвержденном украинской стороной, через ГИС ""Суджа"", — 43,96 млн куб. м на 28 мая. Заявка на ГИС ""Сохрановка"" отклонена»,— сказал господин Куприянов (цитата по агентству ТАСС).10 мая Украина прекратила транспортировку российского газа через газоизмерительную станцию «Сохрановка» и компрессорную станцию «Новопсков» из-за «форс-мажорных обстоятельств». Как сообщал оператор, через «Сохрановку» проходит треть поставок газа России в Европу. Пресс-секретарь президента РФ Дмитрий Песков заявил, что, несмотря на это решение, Россия продолжит выполнять контрактные обязательства по транзиту газа.Подробнее — в материале «Ъ FM» «Газ меняет направление».Еще больше новостей — в Telegram-канале «Коммерсантъ».",«Газпром» увеличил поставки газа в Европу
"Котировки «Газпрома» 26 мая, в день заседания совета директоров компании по дивидендам, неожиданно рухнули в середине торгов на Московской бирже. В 13:41 буквально за минуту они обвалились почти на 13%, достигнув 245 руб. и фактически откатившись к значению недельной давности.Портфельный менеджер управляющей компании отметил: было похоже, что крупный инвестор «спешил выскочить из бумаги и делал это очень грубо». В моменте падение развернуло индекс Московской биржи, который снижался на 2,5%, до 2327 пунктов. Такое движение в глазах инвесторов свидетельствовало об отказе компании от выплаты дивидендов.В этом году компании, даже получив прибыль, не спешат выплачивать дивиденды. Из крупных эмитентов их одобрили, например, ГМК «Норильский никель», «Татнефть», МТС, «Интер РАО», «Трансконтейнер», НОВАТЭК. Однако многие, отмечает начальник управления торговых операций на российском фондовом рынке «Фридом Финанс» Георгий Ващенко, «отказались или еще думают».Так, на прошлой неделе правительство поручило Минфину не предусматривать выплату дивидендов за 2021 год на обыкновенные и привилегированные акции Сбербанка, чистая прибыль которого за 2021 год составила 1,25 трлн руб. Между тем пессимистичные ожидания в отношении «Газпрома» не оправдались.Участники рынка считают, что на торгах наблюдалось «что-то похожее на манипулирование либо на ошибку трейдера». Наиболее вероятно, что кто-то поддался эмоциям, «отреагировал на распространенный фейк», и это спровоцировало волну продаж, которая, впрочем, быстро закончилась, считает Георгий Ващенко.Действительно, сразу после снижения котировок в различных источниках распространился фейковый скрин якобы новости о переносе дивидендов «Газпрома» с сайта РБК, источник которого не ясен, пояснил аналитик ФГ «Финам» Сергей Кауфман. Впрочем, в Telegram-канале издания уверяют, что «такой материал никогда не мог выйти на РБК».На слабо ликвидном рынке новости-«молнии» играют определяющее значение, а можно ли это считать манипуляцией — определять регулятору, подчеркнул руководитель отдела по управлению акциями УК «Ингосстрах-Инвестиции» Александр Дорожкин. Персональный брокер «БКС Мир инвестиций» Павел Макаров не исключает срабатывания большого количества стоп-заявок (когда продаются ценные бумаги при достижении котировки определенного значения).По итогам торгов акции «Газпрома» выросли более чем на 9%, остановившись на отметке 296 руб. Индекс Московской биржи поднялся на 3,1%, до 2413 пунктов на фоне стремительного ослабления курса рубля. Объем торгов превысил 66,5 млрд руб. и оказался максимальным в мае. Более половины этого объема пришлось на акции «Газпрома», отмечает начальник отдела глобальных исследований «Открытие Инвестиции» Михаил Шульгин. По мнению ведущего аналитика ПСБ Алексея Головинова, в случае сохранения позитивных настроений на рынке в пятницу индекс может достичь отметки 2500 пунктов.",Спекулянты отыгрались на «Газпроме»
"Старший научный сотрудник Финансового университета Станислав Митрахович отмечает, что Россия не сможет использовать трубопровод «Ямал—Европа» для прокачки газа в Европу. Но, по его словам, такое развитие событий было ожидаемо: «Польша ведет себя так, потому что давно уже планировала прекратить прямые закупки у ""Газпрома"". Возможно, будут какие-то юридические нюансы в будущих разбирательствах в Стокгольмском арбитраже или еще где-нибудь. Вероятно, Польша сейчас тоже готовится к этим юридическим сражениям.Но опять же в текущих обстоятельствах, когда ставки очень велики, когда речь идет о таких вещах, как национализация активов того же ""Газпрома"" в Европе, разбирательства, которые будут через полгода или через пять лет, уже особого значения не имеют. Поэтому я бы не сказал, что сейчас для компании это принципиально важно. Польские власти фактически национализировали долю ""Газпрома"" в компании EuRoPol GAZ, которая управляет польским участком газопровода ""Ямал—Европа"".Это было российско-польское предприятие, и польские власти запретили ""Газпрому"" получать дивиденды и выгоду от использования этих акций. Фактически речь идет о национализации этого актива, как минимум временной. В ответ российское правительство запретило ""Газпрому"" делать какие-либо платежи в пользу EuRoPol GAZ. Наша компания уже несколько недель не может платить за бронирование мощностей по ""Ямал—Европе"", поэтому российский газ там не идет.Была версия, что из-за того, что сейчас есть проблема с поставками газа через Украину, ""Газпром"" сможет перекинуть этот объем на газопровод. Но теперь этого делать нельзя. Соответственно, и поставок российского газа по ""Ямал—Европе"" через Польшу уже нет, и, скорее всего, в ближайшее время они осуществляться не будут.Поэтому моя версия такая — крупные потребители при поддержке своих правительств все-таки будут платить по новой схеме, и газ им будет идти напрямую.При этом публично будет рассказываться, что компания платит в евро, они не будут проговаривать нюансы, что евро трансформируется в рубли, только тогда сделка оказывается осуществленной. А мелкие, менее политически прикрытые потребители будут перекупать газ у крупных. Условно говоря, немцы могут продавать газ Польше. Какие-то итальянские компании могут перепродавать Болгарии. Финляндия и Литва не получают российский газ напрямую, а, например, Латвия и Эстония получают, соответственно, через эти страны будут идти поставки».Транзит газа через Украину в последние недели сократился. В частности, из двух трубопроводов используется только один. Киев объясняет это тем, что не контролирует поставки через станцию в Луганской области, где сейчас ведутся военные действия. Украинские власти при этом пригрозили «Газпрому» очередным разбирательством в арбитражном суде. С учетом приостановки транзита через «Ямал—Европу» встает вопрос: сможет ли Россия исполнять свои обязательства по поставкам газа европейским потребителям?Однако с учетом того, что Евросоюз намерен сокращать зависимость от российских энергоресурсов, проблем с прокачкой топлива не должно возникнуть, считает директор по исследованиям Vygon Consulting Мария Белова: «Тут тоже возникает вопрос об исполнении контрактных обязательств, но уже со стороны европейских покупателей. Если поставки сокращаются, ""Газпрому"" будет вполне достаточно существующих на сегодня маршрутов экспорта в Европу.""Голубой поток"", ""Турецкий поток"", ""Северный поток"", транзит через Украину. В конце концов, у нас еще несколько лет действует транзитный договор по поставкам 40 млрд кубометров газа. И если уж все пойдет гладко и хорошо, и Европа пересмотрит свои планы по сокращению зависимости от российского газа, ""Северный поток-2"" технически готов к эксплуатации. За последние месяцы произошло много того, чего, наверное, в обычной жизни и в газовом бизнесе раньше было бы невозможно.И, да, сертификация по ""Северному потоку-2"" была остановлена. Но поскольку важный для поставок российского газа маршрут через Украину находится в зоне ведения боевых действий, то в данном случае никто не застрахован от каких-то форс-мажорных ситуаций. Мне кажется, если произойдет какая-то остановка транзита по причине физического повреждения инфраструктуры, то вопрос возврата и запуска ""Северного потока-2"" может быть возвращен в повестку».В Кремле назвали позицию Польши «оголтелой, на грани сумасшествия». По словам пресс-секретаря президента Дмитрия Пескова, российские власти намерены тщательно проанализировать решение Варшавы.",Газу перекрывают маршруты
"“Ъ” ознакомился с предложением, которое глава «Роснефти» Игорь Сечин 15 апреля направил премьеру Михаилу Мишустину: установить для «Газпрома» минимальный и максимальный объем продаж газа на бирже СПбМТСБ. Топ-менеджер уточняет, что при расчете объема не должен учитываться газ, который покупают на бирже структуры самой монополии, в том числе ее сбытовые предприятия.В 2019 году монополия продала на бирже 11 млрд кубометров газа, в 2020 году — 12,2 млрд кубометров. ФАС много раз рекомендовала «Газпрому» поднять уровень продаж, но в 2021 году из-за аварии на Уренгойском заводе по подготовке конденсата монополия сократила их еще больше, всего до 5,2 млрд кубометров.«Роснефть» закупает газ у других производителей: по данным отчетности за 2021 год, компания в целом приобрела 6,24 млрд кубометров (за исключением газа, поставленного по договорам процессинга), при этом объем реализации в РФ составил 57,2 млрд кубометров.К 2026 году на СПбМТСБ должно продаваться не менее 10% от общего объема продаж на внутреннем рынке, фактически же этот показатель составляет менее 4%, отмечает в письме Игорь Сечин.Стоимость покупки газа на бирже и его транспортировка до потребителей в 2021 году на 2–10% превышала оптовые цены на газ, установленные ФАС, добавляет он. Действующее нормативное регулирование интерпретируется «Газпромом» и его структурами «исключительно в своих интересах», заключает господин Сечин, поскольку монополия, обладая преференциями на внутреннем рынке и значительными свободными объемами газа, «максимально ограничивает объем биржевых продаж».В аппарате правительства от комментариев отказались, в «Роснефти», «Газпроме» и Минэнерго “Ъ” не ответили.В ФАС “Ъ” сообщили, что в процессе мониторинга за текущей ситуацией на биржевых торгах установлено существенное снижение объемов реализации газа. «Служба предлагает утвердить приказ о минимальной величине продажи газа на бирже по аналогии с приказом на рынке нефтепродуктов, где установлены определенные нормативы продаж бензина и дизтоплива»,— сообщили там. По мнению ФАС, потребители газа, приобретая его на бирже, получают ряд преимуществ, главное из которых возможность долгосрочно планировать закупки с использованием прозрачного механизма формирования цен.При этом средняя цена за январь—апрель выросла на 8,9%, до 4,099 тыс. руб. за 1 тыс. кубометров. По его мнению, текущий объем биржевой торговли газом на СПбМТСБ уже не позволяет говорить о возможности использования биржевых цен в качестве ценовых индексов, и «это является серьезной проблемой, решение которой сейчас возможно только при вмешательстве регулирующих органов».",«Газпром» призывают к биржевой дисциплине
"Сможет ли Россия исполнять обязательства по поставкам газа в Европу? Заведующий отделом бизнеса газеты “Ъ” Юрий Барсуков считает, что это будет зависеть от заявок ЕС:«Каждые сутки европейские потребители, у которых есть контракт с ""Газпромом"", выставляют так называемые номинации, то есть сколько газа им нужно в этот день. На данный момент они низкие. Это связано с тем, что уже почти лето, тепло, и, во-первых, нужно не так много газа, а во-вторых, он в целом дорогой, и европейцы последние несколько месяцев вообще закупают его мало по историческим меркам.И нынешний уровень номинаций можно выполнить, даже не имея доступа к ""Ямал—Европе"" и с учетом сокращенного транзита через территорию Украины. Однако если европейские потребители выставят контрактный уровень номинаций, то их уже нельзя будет выполнить по существующим доступным для ""Газпрома"" трубоопроводам. Если исходить из некой экстраполяции нынешних тенденций, то, скорее всего, потребление Европы будет только сокращаться в ближайшие недели.Газ дорогой, непосредственной необходимости в увеличении закачки его в хранилища у европейских компаний еще нет. Они могут подождать до середины июня или даже до начала июля и надеяться на то, что цены, может быть, снизятся, или что-нибудь случится. Закачивать газ по нынешним ценам для них, мягко говоря, болезненно.Задачей ответных санкций является, во-первых, чтобы европейские, прежде всего, немецкие власти оказали давление на Украину, и та вернулась к исполнению транзитного контракта. Насколько это удастся, я не знаю. Думаю, что нет. А, во-вторых, конечно, существует один маршрут, который сейчас не задействован, хотя полностью готов — это ""Северный поток-2"".В целом в экстренном случае, если Европа будет замерзать, можно за 48 часов начать поставки газа по этому маршруту в Германию. Его будет достаточно для удовлетворения потребностей всего ЕС в случае, если не будет маршрута через Украину целиком и не будет ""Ямал—Европы"".Я думаю, что можно ожидать некоего роста, но основная интрига заключается в том, удастся ли Европе заполнить свои подземные хранилища. Это будет понятно к августу. Если нет, то газовый кризис будет тогда, когда ему и положено — зимой».Не исключено, что сложившаяся ситуация приведет к судебным разбирательствам и штрафам для «Газпрома», отмечает партнер информационно-консалтинговой компании RusEnergy Михаил Крутихин: «Трудно сказать, насколько справится Европа, если в России прекратится поставка через украинскую территорию. Пока мы видим, что, да, действительно, через ""Сохрановку"" ничего не проходит. К вечеру 11 мая ""Газпром"" согласился увеличить прокачку через другие пункты на украинской границе и даже вроде бы забронировала где-то 71 млн кубометров газа на сутки.В общем-то, проблему на один день решили. Что будет дальше, трудно сказать, поскольку без газопровода ""Ямал—Европа"", проходящего через территорию Белоруссии и Польши в Германию, остается ""Северный поток-1"", ""Турецкий поток"" и украинская территория. Но без украинского транзита, я думаю, что контракты с европейцами не выполнить. Если ""Газпром"" будет нарушать свои обязательства по поставкам, то стоит ожидать каких-то штрафных санкций, арбитражных разбирательств».12 мая газета Iltalehti сообщила со ссылкой на свои источники, что в 13-го Россия якобы намерена остановить поставки газа в Финляндию.",Газ меняет направление
